Date,Close/Last,Volume,Open,High,Low
10/29/2021,$323.57,37059380,$320.19,$325.9999,$319.6
10/28/2021,$316.92,50806840,$312.99,$325.52,$308.11
10/27/2021,$312.22,29971760,$314.19,$319.25,$312.06
10/26/2021,$315.81,65654040,$328.26,$330.2099,$309.6
10/25/2021,$328.69,38408960,$320.3,$329.56,$319.72
10/22/2021,$324.61,35224540,$326.345,$329.63,$321.11
10/21/2021,$341.88,16354420,$340.275,$342.31,$337.8
10/20/2021,$340.78,13639470,$343.445,$343.98,$339.4531
10/19/2021,$339.99,18786320,$339.645,$342.46,$337.28
10/18/2021,$335.34,21585020,$328.95,$335.89,$327.5
10/15/2021,$324.76,21596370,$328.68,$329.07,$322.51
10/14/2021,$328.53,14302150,$328.355,$330.52,$327.1
10/13/2021,$324.54,14761470,$326.97,$327,$322.66
10/12/2021,$323.77,31658680,$323.03,$324.38,$317.37
10/11/2021,$325.45,14708220,$327.625,$330.46,$325.31
10/08/2021,$330.05,15946110,$331.51,$333.4,$328.71
10/07/2021,$329.22,28307460,$337,$338.84,$328.98
10/06/2021,$333.64,26443010,$329.74,$334.38,$325.8
10/05/2021,$332.96,35377950,$328.58,$335.18,$326.1638
10/04/2021,$326.23,42884980,$335.53,$335.94,$322.7
10/01/2021,$343.01,14905310,$341.61,$345.02,$338.64
09/30/2021,$339.39,16547090,$340.445,$342.8,$338.15
